fdcId,brandOwner,ingredients,Total_Sugars,Added_Sugars
416722,Spike's Baking Co. Inc.,"UNSWEETENED SULFITE FREE COCONUT, TAPIOCA SYRUP, PALM OIL, EGG WHITE, NATURAL CHOCOLATE FLAVOR",7.14,
523139,Guida-Seibert Dairy Co.,"SKIM MILK, SUGAR, COCOA (PROCESSED WITH ALKALI), SALT, CARRAGEENAN, VITAMIN A PALMITATE, VITAMIN D3.",8.33,
500976,SmithFoods Inc.,"LOW FAT MILK, SUGAR, COCOA (COCOA PROCESSED WITH ALKALI, SAL, CARRAGEENAN, VANILLIN), VITAMINS A PALMITATE AND D3 ADDED.",9.17,
454615,Healthy Hight's,"FAIR TRADE, ORGANIC DUTCH COCOA BUTTER; BELGIAN COCOA SOLIDS & BUTTER; RAW, FAIR TRADE. ORGANIC, MADHAVA AGAVE NECTAR",11.4,
467468,Good Luck Chuck LLC,"SUNFLOWER SEEDS, SUGAR, CHOCOLATE, PALM OIL, SALT.",15.6,
452652,FINE & RAW,"CACAO BEAN, COCONUT SUGAR, CACAO BUTTER",16.8,
404560,RAW SHAKTI CHOCOLATE LLC,"ORGANIC RAW CACAO BEANS*, ORGANIC RAW COCONUT*, ORGANIC COCONUT PALM SUGAR*, ORGANIC RAW MACA ROOT*, ORGANIC VANILLA BEAN*, ORGANIC SWEET ORANGE OIL*, HIMALAYAN PINK SALT.",17.2,
404616,SANTOSHA,"ORGANIC RAW CACAO BEANS*, ORGANIC RAW COCONUT*, ORGANIC COCONUT PALM SUGAR*, ORGANIC VANILLA BEAN*, ORGANIC RAW MACA ROOT*, ORGANIC CINNAMON*, ORGANIC CAYENNE*, HIMALAYAN PINK SALT.",17.2,
546773,GO CHEWS,"*DICED APRICOTS (*APRICOTS, *RICE FLOUR), *SUNFLOWER SEEDS, *HONEY, *COCOA POWDER, *FREEZE DRIED TART CHERRIES, SEA SALT, *VANILLA BEAN POWDER.",17.5,
553364,"Rouse's Enterprises, Inc.","MILK, CREAM, SUGAR, CORN SYRUP, SKIM MILK SOLIDS, COCOA (PROCESSED WITH ALKALI), WHEY, STABILIZER (MONO AND DIGLYCERIDES, GUAR GUM, CELLULOSE GUM AND CARRAGEENAN).",18.8,14.1
576788,BAKEHOUSE BREAD COMPANY LLC,"CHOCOLATE CREME CAKE: (SUGAR, BLEACHED ENRICHED WHEAT FLOUR, (WHEAT FLOUR, ENRICHED WITH NIACIN, REDUCED IRON, THIAMINE, MONONITRATE, RIBOFLAVIN, FOLIC ACID), FOOD STARCH, MODIFIED, COCOA (PROCESSED WITH ALKALI), DAIRY PRODUCT SOLIDS (MILK). CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: LEAVENING (SODIUM BICARBONATE, SODIUM ALUMINUM PHOSPHATE), SOYBEAN OIL, EMULSIFIER (PROPYLENE GLYCOL ESTERS OF FATTY ACIDS, MONO DIGLYCERIDES, SODIUM STEROYL LACTYLATE), SALT, ARTIFICIAL FLAVOR, CARAMEL COLOR (CONTAINS SULPHITES), RED 40, EGG WHITES, SOY FLOUR), WHOLE EGGS, CANOLA OIL, WATER, HYDROGENATED PALM KERNEL OIL, COCOA, COCOA PROCESSED WITH ALKALI, DEXTROSE, SOY LECITHIN, PROPYLENE GLYCOL, ETHANOL, ARTIFICIAL FLAVORS, CARAMEL COLOR.",22.8,
533097,RENEE'S RAW CHOCOLATE,"ORGANIC RAW CACAO BUTTER, ORGANIC COCONUT, ORGANIC RAW HONEY, ORGANIC RAW CACAO NIBS, ORGANIC GOJI BERRIES, ORGANIC RAW CACAO POWDER, ORGANIC RAW MACA POWDER, ORGANIC MESQUITE POWDER, SEA SALT.",23.3,
542183,BISSINGER'S,"DARK CHOCOLATE [UNSWEETENED CHOCOLATE*, SUGAR, COCOA BUTTER*, SOY LECITHIN (AN EMULSIFIER), VANILLA], COFFEE, SUGAR, BUTTER, ALMONDS, RICE SYRUP, SALT, BAKING SODA, SOY LECITHIN (AN EMULSIFIER), CINNAMON.",23.3,
533929,Raley's,"WATER, UNBROMATED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, CHOCOLATE CHIPS [SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, SOY LECITHIN (AN EMULSIFIER), VANILLA EXTRACT], SOYBEAN OIL, COCOA (PROCESSED WITH ALKALI), CONTAINS LESS THAN 2% OF EACH OF THE FOLLOWING: CORNSTARCH, NATURAL FLAVORS, CITRUS FIBER, LEAVENER (BAKING SODA, SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE) WHEAT GLUTEN, XANTHAN GUM.",29.2,
452655,Bader Publishing,"CACAO BEAN, COCONUT SUGAR, CACAO BUTTER, ESPRESSO BEAN",30.0,
452651,Bader Publishing,"CACAO BEAN, COCONUT SUGAR, CACAO BUTTER, SEA SALT",30.0,
452656,FINE & RAW,"CACAO BEAN, COCONUT SUGAR, CACAO BUTTER, GINGER POWDER.",30.0,
452658,Bader Publishing,"CACAO BEAN, COCONUT SUGAR, CACAO BUTTER, SEA SALT",30.0,
473122,Horizon Marketing Inc.,"ORGANIC CACAO BEAN, ORGANIC CANE SUGAR, ORGANIC COCOA BUTTER.",30.6,
452654,FINE & RAW CHOCOLATE,"CACAO BEAN, COCONUT SUGAR, CACAO BUTTER, RASPBERRY POWDER",32.1,
452653,FINE & RAW,"CACAO BEAN, COCONUT SUGAR, CACAO BUTTER, GROUND LUCUMA, WHOLE GROUND VANILLA",32.1,
799965,SlumberShield,"DATES, BROWN RICE CRISPS, COCONUT OIL, ORGANIC EVAPORATED CANE JUICE, COCONUT (UNSWEETENED, SULFITE-FREE), SEMI-SWEET CHOCOLATE CHIPS (SUGAR, UNSWEETENED CHOCOLATE, COCOA BUTTER, (SOY) LECITHIN, NATURAL VANILLA EXTRACT), CHOCOLATE LIQUOR, WATER, RICE FLOUR, VANILLA, MIXED TOCOPHEROLS, SEA SALT",34.4,
801161,TONK,"WHEAT FLOUR, SUGAR, WHOLE WHEAT FLOUR, VEGETABLE OIL, COCOA PREPARATION, VEGETABLE OIL, A-WHEAT FLOUR, COCOA MASS, CHOCO CRUMB(CONDENSED MILK, WHOLE MILK POWDER, SUGAR, COCOA MASS), OAT POWDER, COCOA POWDER, COCOA MASS, LECITHIN, SALT, COCOA POWDER, ARTIFICIAL VANILLA FLAVOUR, SODIUM HYDROGEN CARBONATE, VANILLIN",35.6,
470649,Caldo International Inc.,"BUTTER(MILK), SUGAR, WHITE, DARK OR MILK CHOCOLATE, ALMONDS, SALT, VANILLA, BAKING SODA. CONTAINS ONE OR MORE OF THE FOLLOWING: WALNUTS, MACADAMIA NUTS, HAZELNUTS, PECANS, PEANUTS.",37.2,
516791,BISSINGER'S,"DARK CHOCOLATE [UNSWEETENED CHOCOLATE*, SUGAR, COCOA BUTTER*, SOY LECITHIN (AN EMULSIFIER), VANILLA], BLOOD ORANGE PUREE, INVERT SUGAR, SUGAR, RICE SYRUP, MILK, BUTTER, HAZELNUTS, COCOA NIBS, CREAM, SALT, VANILLA, ORANGE ZEST OIL, CITRIC ACID, ROSEMARY OIL.",39.5,
382739,Chuao Chocolatier,"PREMIUM MILK CHOCOLATE (41% CACAO, CACAO BUTTER, SUGAR, DEHYDRATED MILK, SOY LECITHIN [AS AN EMULSIFIER], NATURAL VANILLA), POPPING CANDY (SUGAR, CORN GLUCLOSE, LACTOSE, CARBON DIOXIDE), CORN CHIPS (CORN, WATER, CANOLA OIL, SALT, LIME), PUFFED AMARANTH, SEA SALT.",40.0,
730824,KAKAO CHOCOLATE,"DARK CHOCOLATE (CACAO BEANS, SUGAR, COCOA BUTTER, SOYA LECITHIN, VANILLA BEANS), GROUND COFFEE BEANS",40.0,
560979,BISSINGER'S,"RICE SYRUP, DARK CHOCOLATE (UNSWEETENED CHOCOLATE, SUGAR, COCOA BUTTER, SOY LECITHIN (AN EMULSIFIER), VANILLA), SUGAR, MILK CHOCOLATE (SUGAR, WHOLE MILK POWDER, COCOA BUTTER, UNSWEETENED CHOCOLATE, SOY LECITHIN (AN EMULSIFIER), VANILLA), MILK, CREAM, HEAVY CREAM, GRAPE JUICE, PEAR POWDER, BALSAMIC VINEGAR, BALSAMIC SEA SALT (SEA SALT AND BALSAMIC VINEGAR), SMOKED SEA SALT, MEDITERRANEAN SEA SALT, MERLOT SEA SALT (SEA SALT, RED WINE), SALT, VANILLA, NATURAL FLAVOR, CITRIC ACID, MALIC ACID, TARTARIC ACID.",42.2,
472107,Brookshire Grocery Company,"SUGAR, PARTIALLY HYDROGENATD PALM KERNEL OIL, NONFAT DRY MILK, SOY LECITHIN (AN EMULSIFIER), DISTILLED MONO GLYCERIDES, COCOA POWDER (PROCESSED WITH ALKALI), MILK, DIPOTASSIUM PHOSPHATE, CARRAGEENAN, VITAMIN D3, CORN SYRUP, INVERTASE, CREAM, HYDROGENATED COCONUT OIL, BUTTER (CREAM & SALT), NATURAL & ARTIFICIAL FLAVORS, PROPYLENE GLYCOL, GLYCEROL, FLAVORS, WATER, GLYCEROL TRIACETATE, CARAMEL COLOR, TITANIUM, DIOXIDE, ARTIFICIAL COLOR (RED 40).",42.4,
474074,Demet's Candy Company,"SUGAR, CASHEWS (CASHEWS, SAFFLOWER OR SUNFLOWER OIL), CORN SYRUP, NONFAT MILK, COCOA BUTTER, CHOCOLATE, PALM OIL, BUTTEROIL, LACTOSE, AND LESS THAN 1% OF SALT, SOY LECITHIN, SODIUM CASEINATE, NATURAL AND ARTIFICIAL FLAVORS, CARAMEL COLOR.",48.5,
852588,Supreme Chocolatier LLC,"MILK CHOCOLATE (SUGAR, COCOA BUTTER, MILK, CHOCOLATE, LECITHIN-AN EMULSIFIER, VANILIN-AN ARTIFICIAL FLAVOR).",49.5,
576461,Harris-Teeter Inc.,"CHOCOLATEY COATING (SUGAR, HYDROGENATED PALM KERNEL OIL, COCOA POWDER, WHEY POWDER [MILK], SOY LECITHIN [AN EMULSIFIER], AND VANILLIN [AN ARTIFICIAL FLAVORING]), OIL ROASTED PEANUTS, POWDER SUGAR, CORNSTARCH, MILK CHOCOLATE COATING (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, WHOLE MILK POWDER, MILK FAT, SOY LECITHIN [AN EMULSIFIER], VANILLA).",50.0,46.7
599449,Ghirardelli Chocolate Company,"SUGAR, COCOA BUTTER, WHOLE MILK POWDER, UNSWEETENED CHOCOLATE, NONFAT DRY MILK, YELLOW CORN FLOUR, SOY LECITHIN, PALM OIL, NATURAL PEPPERMINT FLAVOR, FRUIT AND VEGETABLE JUICE (COLOR), VANILLA EXTRACT, CORN STARCH, CURCUMIN (COLOR), NATURAL FLAVOR, RICE SYRUP.",50.0,45.8
544629,Mars Chocolate North America LLC,"MILK CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, SKIM MILK, LACTOSE, MILKFAT, SOY LECITHIN, ARTIFICIAL FLAVOR), PEANUTS, CORN SYRUP, SUGAR, MILKFAT, SKIM MILK, PARTIALLY HYDROGENATED SOYBEAN OIL, LACTOSE, SALT, EGG WHITES, CHOCOLATE, ARTIFICAIL FLAVOR.",50.0,
518457,Ghirardelli Chocolate Company,"SUGAR, UNSWEETENED CHOCOLATE, COCOA BUTTER, WHOLE MILK POWDER, MILK FAT, NONFAT DRY MILK, SOY LECITHIN - AN EMULSIFIER, VANILLA.",51.3,
